P 356.0000, 324.0000, 14.0000,  255, 0, 0,  3,  to_Lesser_Faydark
P 185.0000, 348.0000, 0.0000,  255, 255, 0,  1,  TRAP
P 126.0000, 239.0000, 0.0000,  255, 255, 0,  1,  TRAP
P -67.0000, -146.0000, -14.0000,  255, 255, 0,  1,  TRAP
P -98.0000, -275.0000, 3.0000,  255, 255, 0,  1,  TRAP
P -326.0000, 59.0000, -16.0000,  255, 255, 0,  1,  TRAP
P -303.0000, 308.0000, -8.0000,  128, 64, 0,  2,  Hostage
P 18.0000, -415.0000, 0.0000,  128, 64, 0,  2,  Boss
P 26.0000, -426.0000, 0.0000,  128, 64, 0,  2,  Hostage
P -57.0000, 71.0000, 0.0000,  128, 64, 0,  2,  Named
P -213.0000, 32.0000, 0.0000,  128, 64, 0,  2,  Named
P 18.0000, -415.0000, 3.0000,  255, 255, 255,  2,  Main_Room
P 239.7313, 136.2832, 1.5204,  128, 64, 0,  2,  Named
P 39.2380, -152.4641, -12.1256,  128, 64, 0,  2,  Named
P -96.5004, -254.8765, 4.5218,  127, 64, 0,  2,  Named
P 100.7268, 125.7558, 0.0020,  127, 64, 0,  2,  Named
