L 1589.7395, -449.0106, -415.2947,  1589.7395, -449.0106, -415.2947,  0, 0, 0
P 1.4190, -14.9827, -1.6617,  255, 0, 0,  3,  to_Scorched_Woods
P 1499.4324, -344.8070, -414.7780,  127, 64, 0,  2,  Crackjaw_(Named)
P 1881.8395, -9.8903, -398.5031,  0, 0, 0,  2,  Verrin_Di'mure
P 898.0148, -172.8181, -283.7272,  0, 0, 0,  1,  Verrin_Di'mure
P 394.1584, -295.2571, -17.3899,  0, 127, 127,  2,  an_undead_chokidai_(Quests)
P 259.9409, -431.8838, -15.7936,  255, 0, 0,  3,  to_Scorched_Woods
P 707.7000, 5.6274, -434.5162,  127, 64, 0,  2,  Deathfang_(Hunter)
P 1313.3204, -1087.8621, -450.9259,  0, 0, 0,  2,  unholy_book
P 191.4459, 390.1931, -275.0847,  0, 0, 0,  2,  Councilman_Gwalnax_III
P 565.9136, 758.5964, -304.9485,  127, 64, 0,  2,  Grand_Advisor_Zum'uul_(Hunter)
P 349.3464, 882.6542, -399.8145,  240, 240, 240,  2,  Chokidai_Pit
P 299.7833, 1221.2698, -384.6342,  0, 0, 0,  2,  Consort_Hersha_Roh'ki
P 606.3456, 883.1057, -304.0302,  240, 240, 0,  2,  Fake_Wall
P 347.6444, 881.4848, -304.9490,  240, 240, 0,  2,  TRAP:_Pit
P 17.8644, 829.1633, -275.0812,  0, 127, 127,  2,  Royal_Historian_Fio'ra_(Quests)
P -341.7680, 414.6667, -264.5848,  240, 240, 240,  2,  Prince's_Room
P 356.0706, 253.3860, -245.2174,  0, 0, 0,  2,  Councilman_Buzdarloan_III
P 1114.5393, 366.1494, -309.0607,  240, 240, 240,  2,  Underwater_Tunnel
P 1290.3274, 1216.5857, -164.6711,  240, 240, 240,  2,  Sokokars
P 1192.2264, 211.2328, -427.8894,  0, 127, 127,  2,  a_fustrated_fisherman_(Quests)
P 800.0000, 2200.0000, 0.0000,  240, 240, 0,  2,  A._Jailor's_Halls_-_ground_spawn
P 800.0000, 2400.0000, 0.0000,  240, 240, 240,  2,  B._Brutal_Accolades_-_ground_spawn
P 800.0000, 2600.0000, 0.0000,  0, 0, 0,  2,  C._Torturer's_Tools_-_dropped_from_mushrooms
P 800.0000, 2800.0000, 0.0000,  0, 0, 0,  2,  D._Alchemist's_Reagents_-_
P 800.0000, 3000.0000, 0.0000,  127, 64, 0,  2,  1._Battle_Master_Ska`tu_-_PH=a_reanimated_berserker
P 800.0000, 3200.0000, 0.0000,  127, 64, 0,  2,  2._The_Bridge_Keeper_-_PH=a_bridge_guardian
P 800.0000, 3400.0000, 0.0000,  127, 64, 0,  2,  3._Crackjaw_-_PH=a_starving_beetle
P 800.0000, 3600.0000, 0.0000,  127, 64, 0,  2,  4._Deathfang_-_PH=a_chokidai_bonecrusher
P 800.0000, 3800.0000, 0.0000,  127, 64, 0,  2,  5._Dread_Overseer_Akalod_(Other_Things_HA)
P 800.0000, 4000.0000, 0.0000,  127, 64, 0,  2,  6._Dry_Rot_-_PH=a_moldering_fungusman
