P -603.0000, 60.0000, 1.0000, 255, 255, 0, 1, TRAP
P -343.0000, 59.0000, 1.0000, 255, 255, 0, 1, TRAP
P -242.0000, -543.0000, 5.0000, 255, 255, 255, 2, Taarna_Statue
P -386.0000, -546.0000, 26.0000, 128, 133, 0, 1, Rescue
P 41.0000, 55.0000, 0.0000, 255, 255, 0, 1, TRAP
P -764.0000, -554.0000, 0.0000, 128, 64, 0, 2, Boss
P -411.0000, 415.0000, 16.0000, 255, 0, 0, 3, to_North_Ro
P -500.2464, 655.6173, -17.4744, 240, 240, 0, 2, TRAP
P -537.7505, 281.0576, -17.4671, 127, 64, 0, 2, Named
P -199.0184, 178.9605, -13.4761, 240, 240, 0, 1, TRAP
