P -441.0000, -81.0000, 2.0000, 240, 240, 0, 1, TRAP
P -409.0000, -294.0000, -3.0000, 0, 0, 0, 2, Rescue
P 191.0000, 694.0000, -4.0000, 255, 255, 255, 2, Taarna_statue
P -218.0000, 555.0000, 0.0000, 255, 255, 255, 2, Library
P 113.0000, -171.0000, 0.0000, 240, 240, 0, 1, TRAP
P -406.0000, -322.0000, 0.0000, 0, 0, 0, 2, Boss
P -218.0000, 505.0000, 0.0000, 0, 0, 0, 2, Boss
P 144.0000, -626.0000, -24.0000, 240, 0, 0, 3, to_North_Ro
P -52.4404, 359.2499, -2.4710, 240, 240, 0, 1, TRAP
P -184.9648, -50.1455, -2.4792, 240, 240, 0, 1, TRAP
